"HERB_ID_SP","abun","rar.pd.obs","rar.pd.est","sr.obs","sr.est","shan.obs","shan.est","mpd.abun","mpd","mntd.abun","mntd","pd.abun","pd.ivs.abun","pd.ivs","species.specificity.index","effective.partners","proportional.generality","d","psv","psr","eed","hed","pae.even","haed.even","eaed.even","pse.even","HERB_family_2019","HERB_fam_top","HERB_sp","FEED_type","FEED_site","feeding","SC","HERB_ID","start_pheno","start_peak","end_pheno","end_peak","dias_peak","dias_pheno","group"
"CAAN",882,398.864,398.864,3,3,1.09,1.092,2.12648813160154,75.0743846666667,70.075712260771,72.5536133333333,398.864026,-164.250588838493,-96.2882843050077,0.984841598600087,1.09047066467484,0.095563082456312,0.441161972533767,0.115481277389136,0.346443832167409,9.51140480657044,10.4493462029952,0.692362097496874,6.43213559758618,0.948385941369712,0.0049065250460699,"Geometridae","Geometridae","Caripeta angustiorata","free","LEAF","solitary def.","S","CAAN",201,222,283,253,31,82,"late"
"CADI",3971,607.193,607.193,7,7,4.847,4.851,62.7753294935342,126.144602952381,52.9916337683203,78.9932797142857,607.1928,-58.3565005561964,-240.27821950567,0.451660657849684,4.84721048394957,0.424783893933445,0.153600317249913,0.194038751690953,1.35827126183667,4.51677032629765,8.78922921889447,0.504716015447469,7.79776534864099,0.940989349068563,0.112656327219938,"Geometridae","Geometridae","Caripeta divisata","free","LEAF","solitary def.","S","CADI",161,222,303,273,51,142,"late"
"CAER",151,325.05,325.05,1,1,1,1,NA,NA,NA,NA,325.050027,-213.823812422616,6.05707129532331,1,1,0.0876347118285909,0.464435055862322,NA,NA,Inf,11.0710443369494,0.715647300343078,5.01727983681492,1,NA,"Geometridae","Geometridae","Cabera erythemaria","free","LEAF","solitary def.","S","CAER",191,222,273,253,31,82,"late"
"CAEX",46,325.05,325.05,1,1,1,1,NA,NA,NA,NA,325.050027,-210.341895297217,6.05707129532331,1,1,0.0876347118285909,0.397641095451717,NA,NA,Inf,11.0710443369494,0.470239465973422,3.8286413964891,1,NA,"Geometridae","Geometridae","Cabera exanthemata","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"CAPE",1519,1573.821,1573.821,15,15,8.124,8.162,316.082414108469,430.803908590476,91.6025782975642,115.8143524,1573.820583,989.582337600751,21.7121450930067,0.376718221727986,8.12441448178088,0.711980721886898,0.154449383254873,0.662673239203386,9.94009858805079,1.87376720473949,5.07425565561351,0.891203537532267,6.74607657594733,0.920864570022755,0.52093478122051,"Geometridae","Geometridae","Campaea perlata","free",NA,"solitary def.","S","CAPE",100,150,283,273,123,183,NA
"CAPI",80,360.066,360.066,2,2,1.305,1.314,9.7170568275,70.032842,70.032842,70.032842,360.066448,-176.452952223537,-47.0061850048422,0.925620977262501,1.30523677783147,0.11438404889334,0.275586201331573,0.107726251627107,0.215452503254214,15.5590968407699,10.7847441072388,0.569710959317805,4.34374215235876,0.991263293104568,0.0298940348265222,"Geometridae","Geometridae","Caripeta piniata","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"CAVA",67,363.089,363.089,2,2,1.67,1.682,25.1500881817777,76.077322,76.077322,76.077322,363.088688,-172.999617722297,-43.9839450048422,0.811634192772653,1.66957503896888,0.146312727416246,0.321600383214898,0.117024020428708,0.234048040857415,15.5219685364244,10.7590087277627,0.625493172524973,4.19413850685714,0.997489920550873,0.0773729767503681,"Geometridae","Geometridae","Cabera variolaria","free","LEAF","defoliator","S","CAVA",191,211,273,242,31,82,"late"
"CICA",32,405.543,405.543,3,3,2.513,2.595,43.594606921875,81.4591546666667,78.681905625,79.5271553333333,405.543182,-129.384484680497,-89.6091283050077,0.665994284582664,2.51304064133488,0.22022959241692,0.10005447583691,0.125302488694558,0.375907466083675,9.45843511587676,10.3911530498722,-0.614736294592671,3.44990242946893,0.995431425309121,0.1005874557008,"Geometridae","Geometridae","Cingilia catenaria","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"CLAT",32,559.414,559.414,3,3,2.297,2.372,111.58007025,235.29518,232.26938775,233.433154,559.414194,24.4865273195032,64.2618836949924,0.712786444967237,2.29653742340736,0.201256395303879,0.365070019786168,0.361936871951098,1.08581061585329,8.31266120367435,9.13239174989129,1.98904837405681,3.35219509946106,0.967239049216952,0.257452840290027,"Geometridae","Geometridae","Cladara atroliturata","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"CLLI",4350,607.193,607.193,7,7,4.422,4.425,56.513279005197,126.144602952381,51.4762166193103,78.9932797142857,607.1928,-70.9245633231144,-240.27821950567,0.494896312251867,4.42163516460589,0.387488723461402,0.12611923304447,0.194038751690953,1.35827126183667,4.51677032629765,8.78922921889447,0.505412001665567,7.66915772096231,0.915399948671932,0.101418479253651,"Geometridae","Geometridae","Cladara limitaria","free","LEAF","solitary def.","S","CLLI",150,171,263,222,51,113,NA
